year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2022,35,Jack,Mike Evans,6,Jack,23,WR,179.9,7.821739130434783
2022,36,Mario,Tom Brady,6,Jack,23,QB,278.3,12.1
2022,37,Jon,Kirk Cousins,8,Justin,22,QB,291.08,13.23090909090909
2022,38,Brian,Matthew Stafford,3,Bryan,21,QB,109.38,5.208571428571428
2022,39,Brian,Tyreek Hill,7,Jon,20,WR,274.9,13.745
2022,40,Jon,Travis Etienne,2,Brian,20,RB,206.7,10.334999999999999
2022,41,Mario,A.J. Dillon,3,Bryan,20,RB,159.3,7.965000000000001
2022,42,Bill,Courtland Sutton,4,Daniel,19,WR,106.1,5.584210526315789
2022,43,Mario,James Conner,10,Nate,18,RB,182.7,10.149999999999999
2022,44,Mario,Derek Carr,3,Bryan,18,QB,226.08,12.56
2022,45,Nate,Ezekiel Elliott,9,Mario,17,RB,189.3,11.13529411764706
2022,46,Nate,Michael Pittman,3,Bryan,16,WR,136.5,8.53125
2022,47,Jon,David Montgomery,1,Bill,16,RB,165.6,10.35
2022,48,Grossman,Dameon Pierce,2,Brian,15,RB,168.4,11.226666666666667
2022,49,Bill,A.J. Brown,8,Justin,15,WR,234.1,15.606666666666666
2022,50,Daniel,J.K. Dobbins,3,Bryan,15,RB,91.2,6.08
2022,51,Mario,Trevor Lawrence,2,Brian,15,QB,303.94,20.262666666666668
2022,52,Jack,Keenan Allen,5,Eric + Mark,14,WR,93.3,6.664285714285714
2022,53,Brian,Cam Akers,8,Justin,14,RB,137.5,9.821428571428571
2022,54,Justin,Josh Jacobs,8,Justin,12,RB,331.3,27.608333333333334
2022,55,Daniel,Justin Fields,8,Justin,12,QB,329.48,27.456666666666667
2022,56,Bryan,Tee Higgins,10,Nate,12,WR,175.5,14.625
2022,57,Bill,Kyle Pitts,2,Brian,12,TE,56.6,4.716666666666667
2022,58,Nate,Mike Williams,10,Nate,12,WR,135.3,11.275
2022,59,Justin,Brandin Cooks,1,Bill,11,WR,83,7.545454545454546
2022,60,Daniel,Elijah Mitchell,4,Daniel,11,RB,28.6,2.6
2022,61,Bryan,Amon-Ra St. Brown,3,Bryan,11,WR,195.2,17.745454545454546
2022,62,Daniel,Gabe Davis,10,Nate,11,WR,134.7,12.245454545454544
2022,63,Bryan,DJ Moore,2,Brian,10,WR,160.6,16.06
2022,64,Brian,Darren Waller,5,Eric + Mark,10,TE,59.8,5.9799999999999995
2022,65,Bryan,Allen Robinson,9,Mario,10,WR,61.9,6.1899999999999995
2022,66,Bryan,Dalton Schultz,10,Nate,10,TE,92.9,9.290000000000001
2022,67,Grossman,Jaylen Waddle,2,Brian,9,WR,215.4,23.933333333333334
2022,68,Justin,Tony Pollard,4,Daniel,9,RB,241.9,26.87777777777778
2022,69,Jack,Breece Hall,1,Bill,9,RB,111.6,12.399999999999999
2022,70,Bill,George Kittle,1,Bill,8,TE,139.6,17.45
2022,71,Nate,Marquise Brown,9,Mario,8,WR,105.3,13.1625
2022,72,Daniel,Damien Harris,4,Daniel,8,RB,79.2,9.9
2022,73,Mario,Matt Ryan,7,Jon,8,QB,164.28,20.535
2022,74,Grossman,Jameis Winston,7,Jon,8,QB,44.92,5.615
2022,75,Nate,Rashod Bateman,8,Justin,8,WR,43,5.375
2022,76,Bryan,Chris Godwin,7,Jon,8,WR,143.3,17.9125
2022,77,Jack,Diontae Johnson,6,Jack,7,WR,111.4,15.914285714285715
2022,78,Jon,Terry McLaurin,5,Eric + Mark,7,WR,172.1,24.585714285714285
2022,79,Jack,Tua Tagovailoa,2,Brian,7,QB,242.92,34.70285714285714
2022,80,Grossman,Jerry Jeudy,1,Bill,7,WR,138.4,19.771428571428572
2022,81,Nate,DK Metcalf,5,Eric + Mark,7,WR,156.8,22.400000000000002
2022,82,Jack,Antonio Gibson,8,Justin,7,RB,142.4,20.342857142857145
2022,83,Bryan,DeAndre Hopkins,3,Bryan,7,WR,107.7,15.385714285714286
2022,84,Jack,Rashaad Penny,7,Jon,7,RB,57.7,8.242857142857144
2022,85,Justin,Darnell Mooney,6,Jack,6,WR,70.5,11.75
