year,player_id,player_name,LOOKUP Column,position,nfl_team,weeks_played,total_fantasy_points,avg_points_per_game
2020,4985,Rashaad Penny,2020Rashaad Penny,RB,,3,3.9,1.3
2020,4160,Josh Malone,2020Josh Malone,WR,,4,3.8,0.95
2020,6451,Stephen Carlson,2020Stephen Carlson,TE,CHI,16,3.6,0.23
2020,5112,Bo Scarbrough,2020Bo Scarbrough,RB,,2,3.6,1.8
2020,1169,Robert Griffin,2020Robert Griffin,QB,,11,3.58,0.33
2020,7288,Ben Ellefson,2020Ben Ellefson,TE,,7,3.5,0.5
2020,6553,Austin Walter,2020Austin Walter,RB,,6,3.5,0.58
2020,7016,Jeremy Chinn,2020Jeremy Chinn,DB,LV,16,3.4,0.21
2020,7083,Tyler Huntley,2020Tyler Huntley,QB,BAL,4,3.4,0.85
2020,7149,Tommy Stevens,2020Tommy Stevens,TE,NYG,1,3.4,3.4
2020,3400,Clayton Fejedelem,2020Clayton Fejedelem,DB,,16,3.3,0.21
2020,5102,Daurice Fountain,2020Daurice Fountain,WR,,6,3.3,0.55
2020,5161,Ezekiel Turner,2020Ezekiel Turner,LB,DET,16,3.1,0.19
2020,6519,Darrius Shepherd,2020Darrius Shepherd,WR,,9,3.1,0.34
2020,5754,Jaeden Graham,2020Jaeden Graham,TE,,16,3,0.19
2020,6906,Antonio Gandy-Golden,2020Antonio Gandy-Golden,TE,,8,3,0.38
2020,6208,Elliott Fry,2020Elliott Fry,K,,1,3,3
2020,3805,Jon Brown,2020Jon Brown,K,,1,3,3
2020,7021,Rico Dowdle,2020Rico Dowdle,RB,CAR,16,2.9,0.18
2020,1971,Donte Moncrief,2020Donte Moncrief,WR,,7,2.9,0.41
2020,3332,Andy Janovich,2020Andy Janovich,FB,,14,2.7,0.19
2020,5902,Penny Hart,2020Penny Hart,WR,,16,2.7,0.17
2020,6865,Colby Parkinson,2020Colby Parkinson,TE,LAR,10,2.6,0.26
2020,4179,Joshua Dobbs,2020Joshua Dobbs,QB,NE,16,2.58,0.16
2020,345,Brian Hoyer,2020Brian Hoyer,QB,,16,2.5,0.16
2020,5310,Antonio Callaway,2020Antonio Callaway,WR,,6,2.5,0.42
2020,2306,Jameis Winston,2020Jameis Winston,QB,NYG,15,2.4,0.16
2020,4183,Nathan Peterman,2020Nathan Peterman,QB,,16,2.4,0.15
2020,7107,Jason Huntley,2020Jason Huntley,RB,,16,2.4,0.15
2020,5290,Deontay Burnett,2020Deontay Burnett,WR,,2,2.4,1.2
2020,3614,Tommylee Lewis,2020Tommylee Lewis,WR,,5,2.4,0.48
2020,6450,David Blough,2020David Blough,QB,,12,2.26,0.19
2020,4038,John Ross,2020John Ross,WR,,8,2.2,0.28
2020,5005,Jaleel Scott,2020Jaleel Scott,WR,,2,2.1,1.05
2020,6810,Andrew Thomas,2020Andrew Thomas,T,NYG,16,2,0.12
2020,DEN,Denver Broncos,2020Denver Broncos,DEF,DEN,16,2,0.12
2020,6957,James Proche,2020James Proche,WR,TEN,16,1.9,0.12
2020,1718,Derek Carrier,2020Derek Carrier,TE,,16,1.9,0.12
2020,815,Nick Bellore,2020Nick Bellore,LB,WAS,16,1.9,0.12
2020,1737,Case Keenum,2020Case Keenum,QB,CHI,16,1.84,0.12
2020,5098,Siran Neal,2020Siran Neal,CB,SF,16,1.8,0.11
2020,5260,Vyncint Smith,2020Vyncint Smith,WR,,11,1.8,0.16
2020,6984,Tony Jones,2020Tony Jones,RB,,1,1.8,1.8
2020,5128,Logan Woodside,2020Logan Woodside,QB,,16,1.78,0.11
2020,4571,Blake Jarwin,2020Blake Jarwin,TE,,1,1.7,1.7
2020,7050,Josiah Deguara,2020Josiah Deguara,TE,ARI,4,1.7,0.42
2020,4420,Cody Hollister,2020Cody Hollister,WR,,2,1.7,0.85
2020,7005,Scottie Phillips,2020Scottie Phillips,RB,,8,1.6,0.2
2020,4491,Marcus Kemp,2020Marcus Kemp,WR,,11,1.6,0.15
2020,2003,Bennie Fowler,2020Bennie Fowler,WR,,5,1.6,0.32
2020,7082,Dalton Keene,2020Dalton Keene,TE,,13,1.6,0.12
2020,1405,Barkevious Mingo,2020Barkevious Mingo,LB,,16,1.6,0.1
2020,3312,Jonathan Williams,2020Jonathan Williams,RB,,8,1.6,0.2
2020,4189,Eric Saubert,2020Eric Saubert,TE,SEA,9,1.6,0.18
2020,6959,LeVante Bellamy,2020LeVante Bellamy,RB,,5,1.6,0.32
2020,3391,Dwayne Washington,2020Dwayne Washington,RB,,14,1.5,0.11
2020,3333,Temarrick Hemingway,2020Temarrick Hemingway,TE,WAS,8,1.5,0.19
2020,4489,Gehrig Dieter,2020Gehrig Dieter,WR,,4,1.5,0.38
